operation,kind,inputs,outputs,input_dimensions_um,output_dimensions_um,settings_json
maple-40-separate,cut,maple-40,maple-40-window;maple-40-reserve,"[108000, 419000, 33000]","{""maple-40-reserve"": [108000, 196000, 33000], ""maple-40-window"": [108000, 220000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 220000, ""tool"": ""saw""}"
maple-40-end-min,cut,maple-40-window,maple-40-end1;maple-40-end-min-off,"[108000, 220000, 33000]","{""maple-40-end-min-off"": [108000, 8000, 33000], ""maple-40-end1"": [108000, 209000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 209000, ""tool"": ""saw""}"
maple-40-end-max,cut,maple-40-end1,maple-40-blank;maple-40-end-max-off,"[108000, 209000, 33000]","{""maple-40-blank"": [108000, 195000, 33000], ""maple-40-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 195000, ""tool"": ""saw""}"
maple-40-zmin,surface,maple-40-blank,maple-40-z1;maple-40-zmin-loss,"[108000, 195000, 33000]","{""maple-40-z1"": [108000, 195000, 30000], ""maple-40-zmin-loss"": [108000, 195000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-40-zmax,surface,maple-40-z1,maple-40-z2;maple-40-zmax-loss,"[108000, 195000, 30000]","{""maple-40-z2"": [108000, 195000, 27000], ""maple-40-zmax-loss"": [108000, 195000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-40-xmin,surface,maple-40-z2,maple-40-x1;maple-40-xmin-loss,"[108000, 195000, 27000]","{""maple-40-x1"": [107000, 195000, 27000], ""maple-40-xmin-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-40-xmax,surface,maple-40-x1,maple-40-x2;maple-40-xmax-loss,"[107000, 195000, 27000]","{""maple-40-x2"": [106000, 195000, 27000], ""maple-40-xmax-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-40-rip,cut,maple-40-x2,maple-40-pre;maple-40-rip-off,"[106000, 195000, 27000]","{""maple-40-pre"": [26000, 195000, 27000], ""maple-40-rip-off"": [77000, 195000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 15795000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-40-joint,surface,maple-40-pre,panel-5-strip-6;maple-40-joint-loss,"[26000, 195000, 27000]","{""maple-40-joint-loss"": [1000, 195000, 27000], ""panel-5-strip-6"": [25000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-16-separate,cut,walnut-16,walnut-16-window;walnut-16-reserve,"[83000, 419000, 37000]","{""walnut-16-reserve"": [83000, 196000, 37000], ""walnut-16-window"": [83000, 220000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 220000, ""tool"": ""saw""}"
