Nominal replay operation report (dimensions are integer micrometres).
maple-6-z-max [surface]: inputs=maple-6-z-min; outputs=maple-6-z-max,maple-6-z-max-milling; input_size_um=[108000, 300000, 30000]; output_sizes_um={'maple-6-z-max': [108000, 300000, 27000], 'maple-6-z-max-milling': [108000, 300000, 3000]}; axis=2; side=max; amount_um=3000; category=milling; process=thickness_planer
maple-6-x-min [surface]: inputs=maple-6-z-max; outputs=maple-6-x-min,maple-6-x-min-milling; input_size_um=[108000, 300000, 27000]; output_sizes_um={'maple-6-x-min': [107000, 300000, 27000], 'maple-6-x-min-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-6-x-max [surface]: inputs=maple-6-x-min; outputs=maple-6-x-max,maple-6-x-max-milling; input_size_um=[107000, 300000, 27000]; output_sizes_um={'maple-6-x-max': [106000, 300000, 27000], 'maple-6-x-max-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-6-rip [cut]: inputs=maple-6-x-max; outputs=maple-6-a-pre,maple-6-a-rem; input_size_um=[106000, 300000, 27000]; output_sizes_um={'maple-6-a-pre': [51000, 300000, 27000], 'maple-6-a-rem': [52000, 300000, 27000]}; axis=0; retained_um=51000; kerf_um=3000; kerf_volume_um3=24300000000000; tool=saw; category=other_offcuts; retained_side=min
maple-6-a-joint [surface]: inputs=maple-6-a-pre; outputs=maple-6-a50,maple-6-a-joint-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-6-a50': [50000, 300000, 27000], 'maple-6-a-joint-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-6-rem-joint [surface]: inputs=maple-6-a-rem; outputs=maple-6-rem-new,maple-6-rem-joint-milling; input_size_um=[52000, 300000, 27000]; output_sizes_um={'maple-6-rem-new': [51000, 300000, 27000], 'maple-6-rem-joint-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-6-rem-edge [surface]: inputs=maple-6-rem-new; outputs=maple-6-b50,maple-6-rem-edge-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-6-b50': [50000, 300000, 27000], 'maple-6-rem-edge-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
walnut-1-separate [cut]: inputs=walnut-1; outputs=walnut-1-window,walnut-1-reserve; input_size_um=[83000, 419000, 37000]; output_sizes_um={'walnut-1-window': [83000, 316000, 37000], 'walnut-1-reserve': [83000, 100000, 37000]}; axis=1; retained_um=316000; kerf_um=3000; kerf_volume_um3=9213000000000; tool=saw; category=other_offcuts; retained_side=min
walnut-1-end-min [cut]: inputs=walnut-1-window; outputs=walnut-1-end-min-blank,walnut-1-end-min-offcut; input_size_um=[83000, 316000, 37000]; output_sizes_um={'walnut-1-end-min-blank': [83000, 308000, 37000], 'walnut-1-end-min-offcut': [83000, 5000, 37000]}; axis=1; retained_um=308000; kerf_um=3000; kerf_volume_um3=9213000000000; tool=saw; category=trim; retained_side=max
walnut-1-end-max [cut]: inputs=walnut-1-end-min-blank; outputs=walnut-1-blank,walnut-1-end-max-offcut; input_size_um=[83000, 308000, 37000]; output_sizes_um={'walnut-1-blank': [83000, 300000, 37000], 'walnut-1-end-max-offcut': [83000, 5000, 37000]}; axis=1; retained_um=300000; kerf_um=3000; kerf_volume_um3=9213000000000; tool=saw; category=trim; retained_side=min
walnut-1-z-min [surface]: inputs=walnut-1-blank; outputs=walnut-1-z-min,walnut-1-z-min-milling; input_size_um=[83000, 300000, 37000]; output_sizes_um={'walnut-1-z-min': [83000, 300000, 32000], 'walnut-1-z-min-milling': [83000, 300000, 5000]}; axis=2; side=min; amount_um=5000; category=milling; process=thickness_planer
walnut-1-z-max [surface]: inputs=walnut-1-z-min; outputs=walnut-1-z-max,walnut-1-z-max-milling; input_size_um=[83000, 300000, 32000]; output_sizes_um={'walnut-1-z-max': [83000, 300000, 27000], 'walnut-1-z-max-milling': [83000, 300000, 5000]}; axis=2; side=max; amount_um=5000; category=milling; process=thickness_planer
walnut-1-x-min [surface]: inputs=walnut-1-z-max; outputs=walnut-1-x-min,walnut-1-x-min-milling; input_size_um=[83000, 300000, 27000]; output_sizes_um={'walnut-1-x-min': [82000, 300000, 27000], 'walnut-1-x-min-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
walnut-1-x-max [surface]: inputs=walnut-1-x-min; outputs=walnut-1-x-max,walnut-1-x-max-milling; input_size_um=[82000, 300000, 27000]; output_sizes_um={'walnut-1-x-max': [81000, 300000, 27000], 'walnut-1-x-max-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
walnut-1-rip [cut]: inputs=walnut-1-x-max; outputs=walnut-1-b50-pre,walnut-1-b25-pre; input_size_um=[81000, 300000, 27000]; output_sizes_um={'walnut-1-b50-pre': [51000, 300000, 27000], 'walnut-1-b25-pre': [27000, 300000, 27000]}; axis=0; retained_um=51000; kerf_um=3000; kerf_volume_um3=24300000000000; tool=saw; category=other_offcuts; retained_side=min
walnut-1-b50-joint [surface]: inputs=walnut-1-b50-pre; outputs=walnut-1-b50,walnut-1-b50-joint-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'walnut-1-b50': [50000, 300000, 27000], 'walnut-1-b50-joint-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
walnut-1-b25-joint [surface]: inputs=walnut-1-b25-pre; outputs=walnut-1-b25-new,walnut-1-b25-joint-milling; input_size_um=[27000, 300000, 27000]; output_sizes_um={'walnut-1-b25-new': [26000, 300000, 27000], 'walnut-1-b25-joint-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
walnut-1-b25-edge [surface]: inputs=walnut-1-b25-new; outputs=walnut-1-b25,walnut-1-b25-edge-milling; input_size_um=[26000, 300000, 27000]; output_sizes_um={'walnut-1-b25': [25000, 300000, 27000], 'walnut-1-b25-edge-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
walnut-2-separate [cut]: inputs=walnut-2; outputs=walnut-2-window,walnut-2-reserve; input_size_um=[83000, 419000, 37000]; output_sizes_um={'walnut-2-window': [83000, 316000, 37000], 'walnut-2-reserve': [83000, 100000, 37000]}; axis=1; retained_um=316000; kerf_um=3000; kerf_volume_um3=9213000000000; tool=saw; category=other_offcuts; retained_side=min
walnut-2-end-min [cut]: inputs=walnut-2-window; outputs=walnut-2-end-min-blank,walnut-2-end-min-offcut; input_size_um=[83000, 316000, 37000]; output_sizes_um={'walnut-2-end-min-blank': [83000, 308000, 37000], 'walnut-2-end-min-offcut': [83000, 5000, 37000]}; axis=1; retained_um=308000; kerf_um=3000; kerf_volume_um3=9213000000000; tool=saw; category=trim; retained_side=max
walnut-2-end-max [cut]: inputs=walnut-2-end-min-blank; outputs=walnut-2-blank,walnut-2-end-max-offcut; input_size_um=[83000, 308000, 37000]; output_sizes_um={'walnut-2-blank': [83000, 300000, 37000], 'walnut-2-end-max-offcut': [83000, 5000, 37000]}; axis=1; retained_um=300000; kerf_um=3000; kerf_volume_um3=9213000000000; tool=saw; category=trim; retained_side=min
walnut-2-z-min [surface]: inputs=walnut-2-blank; outputs=walnut-2-z-min,walnut-2-z-min-milling; input_size_um=[83000, 300000, 37000]; output_sizes_um={'walnut-2-z-min': [83000, 300000, 32000], 'walnut-2-z-min-milling': [83000, 300000, 5000]}; axis=2; side=min; amount_um=5000; category=milling; process=thickness_planer
